"ref","plate_assay1","duration_feeding_assay1","feedingRate_assay1","body_assay1","spine_assay1","day_assay1","plate_assay2","duration_feeding_assay2","feedingRate_assay2","body_assay2","spine_assay2","day_assay2"
"k+m+_c1_1.12",1,9.46888888888889,0.0691505942754709,1.2573148336,0.4158467426,8,2,6.84861111111111,0.104628497287839,NA,NA,14
"k-m+_m37_2.5",1,8.37666666666667,0.531326199207971,1.2948568972,0.3854168568,7,NA,NA,NA,NA,NA,NA
"k-m-_w2_4.3",1,7.87583333333333,0,0.9320887886,0.1586649608,7,1,6.92111111111111,0.32615801547942,1.213734428,0.0644418828,14
"k-m+_w2_5.1",1,7.85083333333333,0.244659036288274,1.308789102,0.4829562604,7,1,7.27361111111111,0.35495629902551,1.4340711476,0.3135274146,14
"k-m+_c1_6.5",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k+m+_c1_2.5",1,8.3525,0.331502936032206,1.1686440432,0.3527086926,7,NA,NA,NA,NA,NA,NA
"k-m+_c1_4.3",1,7.84277777777778,0.028398912018433,1.0033391795,0.3693908665,7,1,6.75194444444444,0.128868621040304,1.2119207156,0.3332497526,14
"k+m-_c1_5.3",1,7.82444444444444,0.11654531987807,0.6571270322,0.101831013,7,NA,NA,NA,NA,NA,NA
"k+m-_m37_6.2",1,7.45888888888889,-0.0472833680228096,0.9962135016,0.105450005,7,1,6.59027777777778,0.38834990385413,1.3872442156,0.1976199248,14
"k-m+_c1_1.8",1,9.43611111111111,0,1.1103221888,0.34591244,8,2,NA,NA,NA,NA,14
"k+m+_w2_4.1",1,7.81833333333333,0.270708810771871,1.1263052531,0.3653567115,7,1,6.53277777777778,0.270835338622622,1.4354409696,0.4623641502,14
"k-m-_m37_5.3",1,7.76277777777778,0.116936265905733,0.9023085078,0.0218851734,7,1,7.13611111111111,0.603666211729403,1.2761084714,0.016363696,14
"k-m+_w2_1.2",1,9.40638888888889,0.0541827944751792,1.0670623566,0.39686992,8,2,7.54277777777778,0.383668915327199,1.294496776,0.3475629066,14
"k-m+_c1_2.6",1,8.32861111111111,0.175410541503847,1.0011474008,0.3723610028,7,NA,NA,NA,NA,NA,NA
"k-m+_c1_4.5",1,7.79444444444444,-0.0224104401088407,0.9314573446,0.4032693738,7,1,6.81444444444444,-0.117460356931653,1.2326844028,0.4375832244,14
"k+m-_c1_5.1",1,7.69833333333333,0.011972273355606,0.890709801,0.2628301068,7,1,7.24,-0.127587458744496,1.1245373242,0.3356917594,14
"k+m+_c1_6.2",1,7.41972222222222,-0.0896121704795022,1.1452899116,0.4091210512,7,1,6.71194444444444,0.239309481272339,1.4207670213,0.4244974365,14
"k+m+_m37_1.1",1,9.38416666666667,0.0697749003244902,1.1797456212,0.4058444004,8,1,7.54666666666667,0.405518389293256,1.4195857562,0.4129381632,14
"k+m-_m37_2.8",1,8.29861111111111,0.147274804286961,1.1632599036,0.3195686014,7,NA,NA,NA,NA,NA,NA
"k-m+_m37_5.4",1,7.605,-0.0315344703306842,1.190841281,0.4153407746,7,1,7.01333333333333,-0.0909549494420106,1.4409648854,0.3389947754,14
"k-m-_c1_6.3",1,7.38194444444444,0.10132995939707,0.9119772718,0.2529764054,7,1,6.47472222222222,0.136767870963663,1.2345089102,0.3540583724,14
"k+m+_c1_1.4",1,NA,NA,NA,NA,8,2,7.15472222222222,0.515614025137912,NA,NA,14
"k-m-_m37_2.1",1,8.27666666666667,0.153514552701053,0.8682279816,0.0586910688,7,NA,NA,NA,NA,NA,NA
"k-m-_w2_4.1",1,7.76416666666667,-0.113104483426318,0.909801584,0.3575471132,7,1,6.65166666666667,0.461332695520358,0.9815738306,0.1920091664,14
"k+m-_m37_5.2",1,7.56666666666667,0.368127209984813,0.9222260956,0.1896712996,7,1,7.03638888888889,0.0466003561496849,1.174025211,0.2863321426,14
"k-m+_c1_6.2",1,7.35888888888889,0.172242994225018,1.0186274776,0.3105898538,7,1,6.75138888888889,0.252204725694305,1.412518257,0.3142635828,14
"k+m+_c1_1.2",1,9.3125,0.119881848206893,0.9742731848,0.3605054258,8,2,NA,NA,NA,NA,14
"k+m-_w2_2.3",1,7.50111111111111,0.266866029883817,1.3270585854,0.4043052874,7,NA,NA,NA,NA,NA,NA
"k+m-_c1_4.5",1,7.74083333333333,0.0279028250233118,0.8519765917,0.3171479052,7,NA,NA,NA,NA,NA,NA
"k+m+_m37_5.4",1,7.44194444444444,0.21914997630467,0.9303783272,0.3114544444,7,NA,NA,NA,NA,NA,NA
"k+m-_c1_6.3",1,7.32916666666667,0.057156486698115,0.9690913562,0.0611349298,7,1,6.62138888888889,0.397049694354096,1.3777223398,0.0997505244,14
"k-m-_c1_1.6",1,9.285,0.433812471246404,1.3617293568,NA,8,2,7.25555555555556,0.660487375062165,1.562989381,0.3602142656,14
"k-m+_c1_2.5",1,8.22555555555556,0.233513384527067,1.147954143,0.4178575082,7,NA,NA,NA,NA,NA,NA
"k+m+_m37_5.1",1,7.42222222222222,0.159507506516982,1.1480354738,0.4258658488,7,1,7.07194444444444,0.436563782528225,1.3985474442,0.3934643007,14
"k+m-_c1_6.1",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k+m-_w2_1.4",1,9.26472222222222,0.289100659261722,1.1092406568,0.37910897,8,1,7.66972222222222,0.315619724138576,1.4571520006,0.3538817916,14
"k-m+_m37_2.8",1,8.20111111111111,0.362680426307318,1.0718885852,0.3163173506,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_5.2",1,7.38694444444444,0.23124274670962,0.7691334884,0.0323362828,7,NA,NA,NA,NA,NA,NA
"k+m-_c1_6.5",1,7.28694444444444,0.125177307123845,0.8984158816,0.3246477124,7,1,6.65138888888889,0.153024723122068,1.2453641844,0.385784725,14
"k-m+_c1_1.6",1,9.35194444444445,0.149446933956269,1.0541049022,0.4065277366,8,2,NA,NA,NA,NA,14
"k+m+_c1_2.10",1,8.14361111111111,0.646458842995074,NA,NA,7,NA,NA,NA,NA,NA,NA
"k-m+_w2_4.2",1,7.71194444444444,0.344782979418919,1.1463749488,0.375291096,7,1,6.78444444444444,0.196819936721373,1.36680702,0.4385818508,14
"k+m+_m37_5.2",1,7.27361111111111,0.185491519739444,1.1449043142,0.4425695746,7,1,7.10361111111111,0.41479007952307,1.382905413,0.3928647972,14
"k+m-_w2_6.1",1,7.24861111111111,0.0577916804571667,0.9614419684,0.1054812978,7,1,6.51916666666667,0.260003888582221,1.2973582638,0.1623314508,14
"k-m-_c1_1.4",1,9.14972222222222,0.531356555623672,1.0870868022,0.3757411078,8,1,7.79916666666667,0.342041893950337,1.4205665518,0.5123815,14
"k+m+_m37_2.3",1,8.11861111111111,0.379428193917441,1.0713176694,0.3449809712,7,NA,NA,NA,NA,NA,NA
"k+m+_w2_4.2",1,7.68388888888889,0.332451182260402,1.083951731,0.3951024991,7,1,7.06055555555556,0.11976024742349,1.3421754462,0.0204409802,14
"k+m+_c1_5.1",1,7.24888888888889,0.133492944116332,0.857793814,0.3867485407,7,1,7.30694444444444,0.207405296809703,1.1530090351,0.4279309958,14
"k+m-_c1_1.2",1,9.12111111111111,0.309427726782549,0.9579628542,0.368864134,8,NA,NA,NA,NA,NA,NA
"k+m-_c1_4.6",1,7.65555555555556,0.0512317007807739,0.6095487047,0.07636637,7,NA,NA,NA,NA,NA,NA
"k+m-_m37_1.3",1,9.09555555555556,0.134010305213942,0.9307187634,0.3071507446,8,2,6.63138888888889,0.450748915579957,1.2635172342,0.3777198186,14
"k+m-_c1_2.5",1,8.09111111111111,0.0165159365983939,0.8031534356,0.2037276342,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_4.3",1,7.63027777777778,0.0715624458573181,0.8896049264,0.2814045934,7,1,7.10888888888889,0.237646122676322,1.21560971,0.3491845696,14
"k+m+_w2_6.1",1,7.2075,-0.0426939419587286,0.775157073,0.3589702244,7,1,7.01277777777778,0.124912070642775,1.1003653634,0.3112424814,14
"k-m-_w2_1.2",1,9.07305555555556,0.178775952203924,0.9698318424,0.3635444342,8,1,NA,NA,NA,NA,14
"k-m+_m37_2.4",1,8.06055555555556,0.329110238040324,0.8554412914,0.2981773564,7,NA,NA,NA,NA,NA,NA
"k-m-_w2_5.1",1,NA,NA,NA,NA,7,1,6.92833333333333,0.226106052507159,0.9449705002,0.024197056,14
"k+m+_m37_2.5",1,7.88305555555556,0.351244292735911,1.2516950074,0.377041664,7,NA,NA,NA,NA,NA,NA
"k+m+_c1_4.6",1,7.58805555555556,0.214625481490849,0.7584788361,0.2768562154,7,1,6.55555555555556,0.319912674379427,1.2573290068,0.3680673868,14
"k+m+_w2_5.1",1,7.19777777777778,0.187445795167388,1.1650456252,0.4027621612,7,1,7.47194444444444,0.34834720760965,1.5050858392,0.3988006248,14
"k-m-_w2_6.1",1,7.16027777777778,0.181107252166939,0.8976879176,0.1171983178,7,1,6.95583333333333,0.14516724668504,1.287378299,0.2181491192,14
"k+m-_w2_1.1",1,9.04361111111111,0.134780029914468,1.0343398922,0.3530960934,8,1,8.2125,0.155657073375811,1.303718246,0.3579482046,14
"k+m-_m37_2.4",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k+m-_m37_5.3",1,NA,NA,NA,NA,7,1,6.98083333333333,-0.0808518241446129,1.4366320518,0.3931242582,14
"k-m+_m37_6.2",1,7.13333333333333,0.18528753239507,0.9230033102,0.3266438984,7,1,6.67833333333333,0.497788829188831,1.3295652098,0.35490277,14
"k+m-_c1_1.13",1,9.02111111111111,0.169868595570639,1.22125613,0.4148638388,8,1,7.47472222222222,0.273678619297851,1.4252258008,0.4202153648,14
"k+m-_w2_2.1",1,7.48055555555556,0.445072109373801,1.2474358592,0.4110880018,7,NA,NA,NA,NA,NA,NA
"k+m-_w2_4.2",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k+m-_w2_5.1",1,7.15,0.170356466970914,1.2394867514,0.4365747682,7,1,7.34444444444444,0.271277197298925,1.5602100368,0.2805587988,14
"k-m-_m37_6.2",1,7.10638888888889,0.283437525467125,0.950873892,0.3917328462,7,1,6.93361111111111,0.0497376843300388,1.415558002,0.4127987426,14
"k+m-_c1_2.6",1,7.80527777777778,0.357285737560288,1.1487883806,NA,7,NA,NA,NA,NA,NA,NA
"k-m+_w2_4.1",1,7.51805555555556,0.286595201442429,1.218274805,0.404439501,7,1,6.68666666666667,0.189558881813276,1.5033977044,0.2483602602,14
"k-m-_m37_6.1",1,7.06083333333333,0.517962628762399,1.1415961928,0.3617894212,7,1,6.78083333333333,0.283951988495258,1.4604997714,0.411704155,14
"k+m+_w2_1.1",1,8.99444444444444,0.150699126370107,1.0810950692,0.41399079,8,1,7.73305555555556,0.486674002059978,1.3729048996,0.3288980976,14
"k-m+_w2_4.3",1,7.49277777777778,0.136051063258983,1.1775361514,0.4243931822,7,1,7.03083333333333,0.0170338144554448,1.3646357772,0.2696254958,14
"k-m+_c1_5.2",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_6.4",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k+m-_m37_2.9",1,7.7825,0.196179685459631,1.1062386054,0.4244183536,7,NA,NA,NA,NA,NA,NA
"k-m+_c1_4.6",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k-m+_m37_5.2",1,7.10472222222222,0.041604444645408,1.1509102458,0.4259877688,7,1,7.39972222222222,-0.101305206090484,1.4550624696,0.378464191,14
"k+m-_m37_6.1",1,7.01888888888889,0.170551159821705,0.914736804,0.3708551384,7,1,6.80944444444444,0.560338791758422,1.3295658448,0.4399073244,14
"k+m-_c1_1.9",1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"k+m+_m37_2.6",1,7.76,0.472540879100778,1.1531715824,0.3439579862,7,NA,NA,NA,NA,NA,NA
"k-m-_w2_4.2",1,7.45222222222222,0.0328104760366004,1.1957100292,0.3778901256,7,1,6.70972222222222,0.588930100773128,1.4801063108,0.4132924932,14
"k-m+_m37_5.3",1,7.08333333333333,0.0920272657195705,1.2443812552,0.4677629202,7,1,7.20888888888889,0.305392434061744,1.4608448812,0.4558298986,14
"k-m+_c1_6.1",1,6.98638888888889,0.048525142551967,1.1101128674,0.3608244244,7,1,6.8375,0.486201057540438,1.4210498376,0.2947565352,14
"k+m-_w2_1.5",1,8.94194444444445,0.0956415844109791,0.988854131,0.3701973546,8,1,8.30444444444444,0.403967704922821,1.2593026122,0.3449964144,14
"k-m-_m37_2.8",1,7.73305555555556,0.259497289293345,1.1923050322,0.3825600426,7,NA,NA,NA,NA,NA,NA
"k-m+_c1_4.1",1,7.42888888888889,0.0856896000520189,0.8892629535,0.3250217401,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_5.1",1,7.05611111111111,0.0176785399616695,0.9367170242,0.3616803028,7,1,7.16416666666667,0.383068762175308,1.2826497842,0.4222685484,14
"k+m-_c1_6.2",1,6.95277777777778,0.131193619567711,0.797360991,0.2957612576,7,1,6.49694444444444,0.212638940754603,1.3136764176,0.3553196094,14
"k-m+_w2_1.1",1,8.91638888888889,-0.118861393527104,0.8868073196,0.3346865036,8,1,7.86638888888889,0.0877058996973852,1.3883273986,0.3938118362,14
"k+m-_w2_4.3",1,7.38972222222222,0.355039413631157,1.1575529173,0.4200867392,7,1,6.98444444444444,0.284852944891484,1.4836511348,0.070078854,14
"k-m+_m37_5.1",1,7.03638888888889,0.0779897346385865,1.211871846,0.439172985,7,1,7.44,0.256371138789718,1.4466871498,0.3964014678,14
