"date","ref","plate","duration_feeding","feedingRate","body","spine","treatment","clone","kairomone","metsch","block","rep","day","assay","r1","fate","day_fate","infectionFate","day_infection"
"2022-11-03","k+m+_c1_1.12"," 1","9.468889"," 0.069150594","1.2573148","0.41584674","k+m+","c1","TRUE","TRUE"," 1","12","  8"," 1","0.18401888","alive","21","FALSE","NULL"
"2022-11-07","k-m+_m37_2.5"," 1","8.376667"," 0.531326199","1.2948569","0.38541686","k-m+","m37","FALSE","TRUE"," 2"," 5","  7"," 1","0.00000000","lost","11","FALSE","NULL"
"2022-11-09","k-m-_w2_1.4"," 1","8.334722"," 0.374787158","1.3933358","0.38152631","k-m-","w2","FALSE","FALSE"," 1"," 4"," 14"," 2","0.09901798","alive","21","FALSE","NULL"
"2022-12-06","k-m-_w2_4.3"," 1","7.875833"," 0.000000000","0.9320888","0.15866496","k-m-","w2","FALSE","FALSE"," 4"," 3","  7"," 1","0.03300701","alive","21","FALSE","NULL"
"2022-12-11","k-m+_w2_5.1"," 1","7.850833"," 0.244659036","1.3087891","0.48295626","k-m+","w2","FALSE","TRUE"," 5"," 1","  7"," 1","0.12714906","alive","21","FALSE","NULL"
"2022-12-12","k-m+_c1_6.5"," 1",NA,NA,NA,NA,"k-m+","c1","FALSE","TRUE"," 6"," 5","  7"," 1","0.00000000","dead"," 7","FALSE","NULL"
"2022-12-18","k+m+_w2_5.1"," 1","7.471944"," 0.348347208","1.5050858","0.39880062","k+m+","w2","TRUE","TRUE"," 5"," 1"," 14"," 2","0.11235901","alive","21","FALSE","NULL"
"2022-12-19","k+m+_w2_6.1"," 1","7.012778"," 0.124912071","1.1003654","0.31124248","k+m+","w2","TRUE","TRUE"," 6"," 1"," 14"," 2","0.10919221","alive","21","FALSE","NULL"
"2022-11-07","k+m+_c1_2.5"," 1","8.352500"," 0.331502936","1.1686440","0.35270869","k+m+","c1","TRUE","TRUE"," 2"," 5","  7"," 1","0.14454172","dead","17","FALSE","NULL"
"2022-11-09","k+m-_w2_1.5"," 1","8.304444"," 0.403967705","1.2593026","0.34499641","k+m-","w2","TRUE","FALSE"," 1"," 5"," 14"," 2","0.13811512","alive","21","FALSE","NULL"
"2022-12-06","k-m+_c1_4.3"," 1","7.842778"," 0.028398912","1.0033392","0.36939087","k-m+","c1","FALSE","TRUE"," 4"," 3","  7"," 1","0.03300701","alive","21","FALSE","NULL"
"2022-12-11","k+m-_c1_5.3"," 1","7.824444"," 0.116545320","0.6571270","0.10183101","k+m-","c1","TRUE","FALSE"," 5"," 3","  7"," 1","0.00000000","dead"," 9","FALSE","NULL"
"2022-12-12","k+m-_m37_6.2"," 1","7.458889","-0.047283368","0.9962135","0.10545000","k+m-","m37","TRUE","FALSE"," 6"," 2","  7"," 1","0.12619801","alive","21","FALSE","NULL"
"2022-12-13","k-m-_c1_4.3"," 1","7.108889"," 0.237646123","1.2156097","0.34918457","k-m-","c1","FALSE","FALSE"," 4"," 3"," 14"," 2","0.03770723","alive","21","FALSE","NULL"
"2022-12-18","k-m+_m37_5.1"," 1","7.440000"," 0.256371139","1.4466871","0.39640147","k-m+","m37","FALSE","TRUE"," 5"," 1"," 14"," 2","0.09467282","alive","21","FALSE","NULL"
"2022-12-19","k-m+_m37_6.1"," 1","6.988889"," 0.359591392","1.4434896","0.37306705","k-m+","m37","FALSE","TRUE"," 6"," 1"," 14"," 2","0.11767068","alive","21","FALSE","NULL"
"2022-11-03","k-m+_c1_1.8"," 1","9.436111"," 0.000000000","1.1103222","0.34591244","k-m+","c1","FALSE","TRUE"," 1"," 8","  8"," 1","0.00000000","missing","16","FALSE","NULL"
"2022-11-09","k+m+_c1_1.1"," 1","8.276111"," 0.079447190",NA,NA,"k+m+","c1","TRUE","TRUE"," 1"," 1"," 14"," 2","0.04951051","dead","16","FALSE","NULL"
"2022-12-06","k+m+_w2_4.1"," 1","7.818333"," 0.270708811","1.1263053","0.36535671","k+m+","w2","TRUE","TRUE"," 4"," 1","  7"," 1","0.15973432","alive","21","FALSE","NULL"
"2022-12-11","k-m-_m37_5.3"," 1","7.762778"," 0.116936266","0.9023085","0.02188517","k-m-","m37","FALSE","FALSE"," 5"," 3","  7"," 1","0.08154673","alive","21","FALSE","NULL"
"2022-12-18","k-m+_m37_5.2"," 1","7.399722","-0.101305206","1.4550625","0.37846419","k-m+","m37","FALSE","TRUE"," 5"," 2"," 14"," 2","0.10259474","alive","21","FALSE","NULL"
"2022-12-19","k-m-_w2_6.1"," 1","6.955833"," 0.145167247","1.2873783","0.21814912","k-m-","w2","FALSE","FALSE"," 6"," 1"," 14"," 2","0.05231487","alive","21","FALSE","NULL"
"2022-11-03","k-m+_w2_1.2"," 1","9.406389"," 0.054182794","1.0670624","0.39686992","k-m+","w2","FALSE","TRUE"," 1"," 2","  8"," 1","0.08150958","alive","21","FALSE","NULL"
"2022-11-07","k-m+_c1_2.6"," 1","8.328611"," 0.175410542","1.0011474","0.37236100","k-m+","c1","FALSE","TRUE"," 2"," 6","  7"," 1","0.10058987","alive","21","FALSE","NULL"
"2022-11-09","k-m-_w2_1.5"," 1","8.240278"," 0.164586895","1.3366442","0.35490277","k-m-","w2","FALSE","FALSE"," 1"," 5"," 14"," 2","0.10868092","alive","21","FALSE","NULL"
"2022-12-06","k-m+_c1_4.5"," 1","7.794444","-0.022410440","0.9314573","0.40326937","k-m+","c1","FALSE","TRUE"," 4"," 5","  7"," 1","0.07590206","alive","21","FALSE","NULL"
"2022-12-11","k+m-_c1_5.1"," 1","7.698333"," 0.011972273","0.8907098","0.26283011","k+m-","c1","TRUE","FALSE"," 5"," 1","  7"," 1","0.00000000","alive","21","FALSE","NULL"
"2022-12-12","k+m+_c1_6.2"," 1","7.419722","-0.089612170","1.1452899","0.40912105","k+m+","c1","TRUE","TRUE"," 6"," 2","  7"," 1","0.11235901","alive","21","FALSE","NULL"
"2022-12-13","k+m+_w2_4.2"," 1","7.060556"," 0.119760247","1.3421754","0.02044098","k+m+","w2","TRUE","TRUE"," 4"," 2"," 14"," 2","0.11657875","alive","21","FALSE","NULL"
"2022-12-18","k+m-_w2_5.1"," 1","7.344444"," 0.271277197","1.5602100","0.28055880","k+m-","w2","TRUE","FALSE"," 5"," 1"," 14"," 2","0.14478070","alive","21","FALSE","NULL"
"2022-12-19","k-m-_m37_6.2"," 1","6.933611"," 0.049737684","1.4155580","0.41279874","k-m-","m37","FALSE","FALSE"," 6"," 2"," 14"," 2","0.08532188","alive","21","FALSE","NULL"
"2022-11-03","k+m+_m37_1.1"," 1","9.384167"," 0.069774900","1.1797456","0.40584440","k+m+","m37","TRUE","TRUE"," 1"," 1","  8"," 1","0.14391527","alive","21","TRUE","21"
"2022-11-07","k+m-_m37_2.8"," 1","8.298611"," 0.147274804","1.1632599","0.31956860","k+m-","m37","TRUE","FALSE"," 2"," 8","  7"," 1","0.14556294","alive","21","FALSE","NULL"
"2022-11-09","k+m-_w2_1.1"," 1","8.212500"," 0.155657073","1.3037182","0.35794820","k+m-","w2","TRUE","FALSE"," 1"," 1"," 14"," 2","0.13464538","alive","21","FALSE","NULL"
"2022-12-11","k-m+_m37_5.4"," 1","7.605000","-0.031534470","1.1908413","0.41534077","k-m+","m37","FALSE","TRUE"," 5"," 4","  7"," 1","0.12888175","alive","21","FALSE","NULL"
"2022-12-12","k-m-_c1_6.3"," 1","7.381944"," 0.101329959","0.9119773","0.25297641","k-m-","c1","FALSE","FALSE"," 6"," 3","  7"," 1","0.08589701","alive","21","FALSE","NULL"
"2022-12-13","k-m+_w2_4.3"," 1","7.030833"," 0.017033814","1.3646358","0.26962550","k-m+","w2","FALSE","TRUE"," 4"," 3"," 14"," 2","0.08167490","alive","21","FALSE","NULL"
"2022-12-18","k+m+_c1_5.1"," 1","7.306944"," 0.207405297","1.1530090","0.42793100","k+m+","c1","TRUE","TRUE"," 5"," 1"," 14"," 2","0.00000000","dead","16","FALSE","NULL"
"2022-12-19","k-m+_w2_6.1"," 1","6.900833"," 0.195592952","0.9967012","0.28086639","k-m+","w2","FALSE","TRUE"," 6"," 1"," 14"," 2","0.00000000","alive","21","FALSE","NULL"
"2022-11-03","k+m+_c1_1.4"," 1",NA,NA,NA,NA,"k+m+","c1","TRUE","TRUE"," 1"," 4","  8"," 1","0.03300701","alive","21","TRUE","21"
"2022-11-07","k-m-_m37_2.1"," 1","8.276667"," 0.153514553","0.8682280","0.05869107","k-m-","m37","FALSE","FALSE"," 2"," 1","  7"," 1","0.03300701","alive","21","FALSE","NULL"
"2022-11-09","k-m-_c1_1.3"," 1","8.174167"," 0.258157436","1.6120887","0.54349650","k-m-","c1","FALSE","FALSE"," 1"," 3"," 14"," 2","0.22021370","alive","21","FALSE","NULL"
"2022-12-06","k-m-_w2_4.1"," 1","7.764167","-0.113104483","0.9098016","0.35754711","k-m-","w2","FALSE","FALSE"," 4"," 1","  7"," 1","0.00000000","alive","21","FALSE","NULL"
"2022-12-11","k+m-_m37_5.2"," 1","7.566667"," 0.368127210","0.9222261","0.18967130","k+m-","m37","TRUE","FALSE"," 5"," 2","  7"," 1","0.09847316","alive","21","FALSE","NULL"
"2022-12-12","k-m+_c1_6.2"," 1","7.358889"," 0.172242994","1.0186275","0.31058985","k-m+","c1","FALSE","TRUE"," 6"," 2","  7"," 1","0.07663990","alive","21","FALSE","NULL"
"2022-12-13","k+m-_w2_4.3"," 1","6.984444"," 0.284852945","1.4836511","0.07007885","k+m-","w2","TRUE","FALSE"," 4"," 3"," 14"," 2","0.17276384","alive","21","FALSE","NULL"
"2022-12-18","k-m+_w2_5.1"," 1","7.273611"," 0.354956299","1.4340711","0.31352741","k-m+","w2","FALSE","TRUE"," 5"," 1"," 14"," 2","0.12714906","alive","21","FALSE","NULL"
"2022-11-03","k+m+_c1_1.2"," 1","9.312500"," 0.119881848","0.9742732","0.36050543","k+m+","c1","TRUE","TRUE"," 1"," 2","  8"," 1","0.08664340","dead","17","FALSE","NULL"
"2022-11-07","k+m-_w2_2.3"," 1","7.501111"," 0.266866030","1.3270586","0.40430529","k+m-","w2","TRUE","FALSE"," 2"," 3","  7"," 1","0.13218080","alive","21","FALSE","NULL"
"2022-11-09","k-m-_c1_1.10"," 1",NA,NA,NA,NA,"k-m-","c1","FALSE","FALSE"," 1","10"," 14"," 2","0.00000000","missing","16","FALSE","NULL"
"2022-12-06","k+m-_c1_4.5"," 1","7.740833"," 0.027902825","0.8519766","0.31714791","k+m-","c1","TRUE","FALSE"," 4"," 5","  7"," 1","0.00000000","dead","12","FALSE","NULL"
"2022-12-11","k+m+_m37_5.4"," 1","7.441944"," 0.219149976","0.9303783","0.31145444","k+m+","m37","TRUE","TRUE"," 5"," 4","  7"," 1","0.00000000","missing"," 7","FALSE","NULL"
"2022-12-12","k+m-_c1_6.3"," 1","7.329167"," 0.057156487","0.9690914","0.06113493","k+m-","c1","TRUE","FALSE"," 6"," 3","  7"," 1","0.11849610","alive","21","FALSE","NULL"
"2022-12-13","k+m-_w2_4.1"," 1","6.953056"," 0.259255549","1.3963408","0.35526276","k+m-","w2","TRUE","FALSE"," 4"," 1"," 14"," 2","0.09447216","alive","21","FALSE","NULL"
"2022-12-18","k+m-_c1_5.1"," 1","7.240000","-0.127587459","1.1245373","0.33569176","k+m-","c1","TRUE","FALSE"," 5"," 1"," 14"," 2","0.00000000","alive","21","FALSE","NULL"
"2022-11-03","k-m-_c1_1.6"," 1","9.285000"," 0.433812471","1.3617294",NA,"k-m-","c1","FALSE","FALSE"," 1"," 6","  8"," 1","0.19924534","dead","16","FALSE","NULL"
"2022-11-07","k-m+_c1_2.5"," 1","8.225556"," 0.233513385","1.1479541","0.41785751","k-m+","c1","FALSE","TRUE"," 2"," 5","  7"," 1","0.15462199","alive","21","FALSE","NULL"
"2022-11-09","k-m-_w2_1.2"," 1",NA,NA,NA,NA,"k-m-","w2","FALSE","FALSE"," 1"," 2"," 14"," 2","0.00000000","missing","14","FALSE","NULL"
"2022-12-11","k+m+_m37_5.1"," 1","7.422222"," 0.159507507","1.1480355","0.42586585","k+m+","m37","TRUE","TRUE"," 5"," 1","  7"," 1","0.11657875","alive","21","TRUE","21"
"2022-12-12","k+m-_c1_6.1"," 1",NA,NA,NA,NA,"k+m-","c1","TRUE","FALSE"," 6"," 1","  7"," 1","0.00000000","dead"," 7","FALSE","NULL"
"2022-12-13","k-m-_w2_4.3"," 1","6.921111"," 0.326158015","1.2137344","0.06444188","k-m-","w2","FALSE","FALSE"," 4"," 3"," 14"," 2","0.03300701","alive","21","FALSE","NULL"
"2022-12-18","k-m+_m37_5.3"," 1","7.208889"," 0.305392434","1.4608449","0.45582990","k-m+","m37","FALSE","TRUE"," 5"," 3"," 14"," 2","0.09858842","alive","21","FALSE","NULL"
"2022-11-03","k+m-_w2_1.4"," 1","9.264722"," 0.289100659","1.1092407","0.37910897","k+m-","w2","TRUE","FALSE"," 1"," 4","  8"," 1","0.12493857","alive","21","FALSE","NULL"
"2022-11-07","k-m+_m37_2.8"," 1","8.201111"," 0.362680426","1.0718886","0.31631735","k-m+","m37","FALSE","TRUE"," 2"," 8","  7"," 1","0.11849610","alive","21","FALSE","NULL"
"2022-11-09","k+m+_m37_1.2"," 1","8.095833"," 0.282665864","1.4301775","0.39700314","k+m+","m37","TRUE","TRUE"," 1"," 2"," 14"," 2","0.17232520","alive","21","TRUE","21"
"2022-12-11","k-m-_c1_5.2"," 1","7.386944"," 0.231242747","0.7691335","0.03233628","k-m-","c1","FALSE","FALSE"," 5"," 2","  7"," 1","0.00000000","lost"," 7","FALSE","NULL"
"2022-12-12","k+m-_c1_6.5"," 1","7.286944"," 0.125177307","0.8984159","0.32464771","k+m-","c1","TRUE","FALSE"," 6"," 5","  7"," 1","0.10919221","alive","21","FALSE","NULL"
"2022-12-13","k-m+_c1_4.4"," 1","6.895000"," 0.008658690","1.3169100","0.35575326","k-m+","c1","FALSE","TRUE"," 4"," 4"," 14"," 2","0.08154673","alive","21","FALSE","NULL"
"2022-12-18","k-m-_c1_5.1"," 1","7.164167"," 0.383068762","1.2826498","0.42226855","k-m-","c1","FALSE","FALSE"," 5"," 1"," 14"," 2","0.11849610","alive","21","FALSE","NULL"
"2022-12-19","k+m+_m37_6.2"," 1","6.873333"," 0.057437649","1.2671413","0.39845018","k+m+","m37","TRUE","TRUE"," 6"," 2"," 14"," 2","0.05231487","alive","21","FALSE","NULL"
"2022-11-03","k-m+_c1_1.6"," 1","9.351944"," 0.149446934","1.0541049","0.40652774","k-m+","c1","FALSE","TRUE"," 1"," 6","  8"," 1","0.14834085","alive","21","FALSE","NULL"
"2022-11-07","k+m+_c1_2.10"," 1","8.143611"," 0.646458843",NA,NA,"k+m+","c1","TRUE","TRUE"," 2","10","  7"," 1","0.13339793","alive","21","FALSE","NULL"
"2022-12-06","k-m+_w2_4.2"," 1","7.711944"," 0.344782979","1.1463749","0.37529110","k-m+","w2","FALSE","TRUE"," 4"," 2","  7"," 1","0.13670492","alive","21","FALSE","NULL"
"2022-12-11","k+m+_m37_5.2"," 1","7.273611"," 0.185491520","1.1449043","0.44256957","k+m+","m37","TRUE","TRUE"," 5"," 2","  7"," 1","0.06462425","alive","21","FALSE","NULL"
"2022-12-12","k+m-_w2_6.1"," 1","7.248611"," 0.057791680","0.9614420","0.10548130","k+m-","w2","TRUE","FALSE"," 6"," 1","  7"," 1","0.12669468","alive","21","FALSE","NULL"
"2022-12-18","k-m-_m37_5.3"," 1","7.136111"," 0.603666212","1.2761085","0.01636370","k-m-","m37","FALSE","FALSE"," 5"," 3"," 14"," 2","0.08154673","alive","21","FALSE","NULL"
"2022-12-19","k-m+_c1_6.1"," 1","6.837500"," 0.486201058","1.4210498","0.29475654","k-m+","c1","FALSE","TRUE"," 6"," 1"," 14"," 2","0.10964691","alive","21","FALSE","NULL"
"2022-11-03","k-m-_c1_1.4"," 1","9.149722"," 0.531356556","1.0870868","0.37574111","k-m-","c1","FALSE","FALSE"," 1"," 4","  8"," 1","0.14346062","alive","21","FALSE","NULL"
"2022-11-07","k+m+_m37_2.3"," 1","8.118611"," 0.379428194","1.0713177","0.34498097","k+m+","m37","TRUE","TRUE"," 2"," 3","  7"," 1","0.13218080","lost","17","FALSE","NULL"
"2022-11-09","k-m+_w2_1.5"," 1","8.064167"," 0.410900654","1.2192673","0.36710097","k-m+","w2","FALSE","TRUE"," 1"," 5"," 14"," 2","0.06601402","alive","21","FALSE","NULL"
"2022-12-06","k+m+_w2_4.2"," 1","7.683889"," 0.332451182","1.0839517","0.39510250","k+m+","w2","TRUE","TRUE"," 4"," 2","  7"," 1","0.11657875","alive","21","FALSE","NULL"
"2022-12-11","k+m+_c1_5.1"," 1","7.248889"," 0.133492944","0.8577938","0.38674854","k+m+","c1","TRUE","TRUE"," 5"," 1","  7"," 1","0.00000000","dead","16","FALSE","NULL"
"2022-12-13","k-m-_c1_4.4"," 1","6.845000"," 0.211389885","0.8089858","0.20131062","k-m-","c1","FALSE","FALSE"," 4"," 4"," 14"," 2","0.00000000","dead","16","FALSE","NULL"
"2022-12-19","k+m-_m37_6.1"," 1","6.809444"," 0.560338792","1.3295658","0.43990732","k+m-","m37","TRUE","FALSE"," 6"," 1"," 14"," 2","0.14360274","alive","21","FALSE","NULL"
"2022-11-03","k+m-_c1_1.2"," 1","9.121111"," 0.309427727","0.9579629","0.36886413","k+m-","c1","TRUE","FALSE"," 1"," 2","  8"," 1","0.00000000","lost"," 8","FALSE","NULL"
"2022-12-06","k+m-_c1_4.6"," 1","7.655556"," 0.051231701","0.6095487","0.07636637","k+m-","c1","TRUE","FALSE"," 4"," 6","  7"," 1","0.00000000","dead"," 9","FALSE","NULL"
"2022-12-13","k-m+_c1_4.5"," 1","6.814444","-0.117460357","1.2326844","0.43758322","k-m+","c1","FALSE","TRUE"," 4"," 5"," 14"," 2","0.07590206","alive","21","FALSE","NULL"
"2022-12-19","k-m-_m37_6.1"," 1","6.780833"," 0.283951988","1.4604998","0.41170416","k-m-","m37","FALSE","FALSE"," 6"," 1"," 14"," 2","0.09901781","alive","21","FALSE","NULL"
"2022-11-03","k+m-_m37_1.3"," 1","9.095556"," 0.134010305","0.9307188","0.30715074","k+m-","m37","TRUE","FALSE"," 1"," 3","  8"," 1","0.09847316","alive","21","FALSE","NULL"
"2022-11-07","k+m-_c1_2.5"," 1","8.091111"," 0.016515937","0.8031534","0.20372763","k+m-","c1","TRUE","FALSE"," 2"," 5","  7"," 1","0.00000000","alive","21","FALSE","NULL"
"2022-12-06","k-m-_c1_4.3"," 1","7.630278"," 0.071562446","0.8896049","0.28140459","k-m-","c1","FALSE","FALSE"," 4"," 3","  7"," 1","0.03770723","alive","21","FALSE","NULL"
"2022-12-12","k+m+_w2_6.1"," 1","7.207500","-0.042693942","0.7751571","0.35897022","k+m+","w2","TRUE","TRUE"," 6"," 1","  7"," 1","0.10919221","alive","21","FALSE","NULL"
"2022-12-13","k-m+_w2_4.2"," 1","6.784444"," 0.196819937","1.3668070","0.43858185","k-m+","w2","FALSE","TRUE"," 4"," 2"," 14"," 2","0.13670492","alive","21","FALSE","NULL"
"2022-12-18","k+m+_m37_5.2"," 1","7.103611"," 0.414790080","1.3829054","0.39286480","k+m+","m37","TRUE","TRUE"," 5"," 2"," 14"," 2","0.06462425","alive","21","FALSE","NULL"
"2022-12-19","k-m+_c1_6.2"," 1","6.751389"," 0.252204726","1.4125183","0.31426358","k-m+","c1","FALSE","TRUE"," 6"," 2"," 14"," 2","0.07663990","alive","21","FALSE","NULL"
"2022-11-03","k-m-_w2_1.2"," 1","9.073056"," 0.178775952","0.9698318","0.36354443","k-m-","w2","FALSE","FALSE"," 1"," 2","  8"," 1","0.00000000","missing","14","FALSE","NULL"
"2022-11-07","k-m+_m37_2.4"," 1","8.060556"," 0.329110238","0.8554413","0.29817736","k-m+","m37","FALSE","TRUE"," 2"," 4","  7"," 1","0.11280737","alive","21","FALSE","NULL"
"2022-11-09","k+m-_c1_1.5"," 1","8.026944"," 0.462272642","1.6020794","0.49322253","k+m-","c1","TRUE","FALSE"," 1"," 5"," 14"," 2","0.19334319","alive","21","FALSE","NULL"
"2022-12-11","k-m-_w2_5.1"," 1",NA,NA,NA,NA,"k-m-","w2","FALSE","FALSE"," 5"," 1","  7"," 1","0.00000000","alive","21","FALSE","NULL"
"2022-12-13","k-m+_c1_4.3"," 1","6.751944"," 0.128868621","1.2119207","0.33324975","k-m+","c1","FALSE","TRUE"," 4"," 3"," 14"," 2","0.03300701","alive","21","FALSE","NULL"
"2022-12-19","k+m+_c1_6.2"," 1","6.711944"," 0.239309481","1.4207670","0.42449744","k+m+","c1","TRUE","TRUE"," 6"," 2"," 14"," 2","0.11235901","alive","21","FALSE","NULL"
"2022-11-07","k+m+_m37_2.5"," 1","7.883056"," 0.351244293","1.2516950","0.37704166","k+m+","m37","TRUE","TRUE"," 2"," 5","  7"," 1","0.00000000","dead"," 7","FALSE","NULL"
"2022-11-09","k+m+_c1_1.7"," 1","7.990556"," 0.237306227",NA,NA,"k+m+","c1","TRUE","TRUE"," 1"," 7"," 14"," 2","0.13711405","alive","21","TRUE","21"
"2022-12-06","k+m+_c1_4.6"," 1","7.588056"," 0.214625481","0.7584788","0.27685622","k+m+","c1","TRUE","TRUE"," 4"," 6","  7"," 1","0.08664340","alive","21","FALSE","NULL"
"2022-12-11","k+m+_w2_5.1"," 1","7.197778"," 0.187445795","1.1650456","0.40276216","k+m+","w2","TRUE","TRUE"," 5"," 1","  7"," 1","0.11235901","alive","21","FALSE","NULL"
"2022-12-12","k-m-_w2_6.1"," 1","7.160278"," 0.181107252","0.8976879","0.11719832","k-m-","w2","FALSE","FALSE"," 6"," 1","  7"," 1","0.05231487","alive","21","FALSE","NULL"
"2022-12-13","k-m-_w2_4.2"," 1","6.709722"," 0.588930101","1.4801063","0.41329249","k-m-","w2","FALSE","FALSE"," 4"," 2"," 14"," 2","0.15949986","alive","21","FALSE","NULL"
"2022-12-18","k+m+_m37_5.1"," 1","7.071944"," 0.436563783","1.3985474","0.39346430","k+m+","m37","TRUE","TRUE"," 5"," 1"," 14"," 2","0.11657875","alive","21","TRUE","21"
"2022-11-03","k+m-_w2_1.1"," 1","9.043611"," 0.134780030","1.0343399","0.35309609","k+m-","w2","TRUE","FALSE"," 1"," 1","  8"," 1","0.13464538","alive","21","FALSE","NULL"
"2022-11-07","k+m-_m37_2.4"," 1",NA,NA,NA,NA,"k+m-","m37","TRUE","FALSE"," 2"," 4","  7"," 1","0.14273284","alive","21","FALSE","NULL"
"2022-11-09","k-m+_w2_1.1"," 1","7.866389"," 0.087705900","1.3883274","0.39381184","k-m+","w2","FALSE","TRUE"," 1"," 1"," 14"," 2","0.13441214","alive","21","FALSE","NULL"
"2022-12-11","k+m-_m37_5.3"," 1",NA,NA,NA,NA,"k+m-","m37","TRUE","FALSE"," 5"," 3","  7"," 1","0.11355998","alive","21","FALSE","NULL"
"2022-12-12","k-m+_m37_6.2"," 1","7.133333"," 0.185287532","0.9230033","0.32664390","k-m+","m37","FALSE","TRUE"," 6"," 2","  7"," 1","0.09400394","alive","21","FALSE","NULL"
"2022-12-18","k+m-_m37_5.2"," 1","7.036389"," 0.046600356","1.1740252","0.28633214","k+m-","m37","TRUE","FALSE"," 5"," 2"," 14"," 2","0.09847316","alive","21","FALSE","NULL"
"2022-12-19","k-m+_m37_6.2"," 1","6.678333"," 0.497788829","1.3295652","0.35490277","k-m+","m37","FALSE","TRUE"," 6"," 2"," 14"," 2","0.09400394","alive","21","FALSE","NULL"
"2022-11-03","k+m-_c1_1.13"," 1","9.021111"," 0.169868596","1.2212561","0.41486384","k+m-","c1","TRUE","FALSE"," 1","13","  8"," 1","0.16238515","alive","21","FALSE","NULL"
