"treatment","clone","kairomone","metsch","block","rep","ref","plate_assay1","duration_feeding_assay1","feedingRate_assay1","body_assay1","spine_assay1","day_assay1","plate_assay2","duration_feeding_assay2","feedingRate_assay2","body_assay2","spine_assay2","day_assay2","r1","fate","day_fate","infectionFate","day_infection"
"k+m+","c1","TRUE","TRUE","1","12","k+m+_c1_1.12"," 1","9.468889"," 0.069150594","1.2573148","0.41584674"," 8"," 2","6.848611"," 0.10462850",NA,NA,"14","0.18401888","alive","21","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","2","5","k-m+_m37_2.5"," 1","8.376667"," 0.531326199","1.2948569","0.38541686"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","lost","11","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","4","3","k-m-_w2_4.3"," 1","7.875833"," 0.000000000","0.9320888","0.15866496"," 7"," 1","6.921111"," 0.32615802","1.2137344","0.06444188","14","0.03300701","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","5","1","k-m+_w2_5.1"," 1","7.850833"," 0.244659036","1.3087891","0.48295626"," 7"," 1","7.273611"," 0.35495630","1.4340711","0.31352741","14","0.12714906","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","6","5","k-m+_c1_6.5"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","2","5","k+m+_c1_2.5"," 1","8.352500"," 0.331502936","1.1686440","0.35270869"," 7",NA,NA,NA,NA,NA,NA,"0.14454172","dead","17","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","4","3","k-m+_c1_4.3"," 1","7.842778"," 0.028398912","1.0033392","0.36939087"," 7"," 1","6.751944"," 0.12886862","1.2119207","0.33324975","14","0.03300701","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","5","3","k+m-_c1_5.3"," 1","7.824444"," 0.116545320","0.6571270","0.10183101"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 9","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","6","2","k+m-_m37_6.2"," 1","7.458889","-0.047283368","0.9962135","0.10545000"," 7"," 1","6.590278"," 0.38834990","1.3872442","0.19761992","14","0.12619801","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","8","k-m+_c1_1.8"," 1","9.436111"," 0.000000000","1.1103222","0.34591244"," 8"," 2",NA,NA,NA,NA,"14","0.00000000","missing","16","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","4","1","k+m+_w2_4.1"," 1","7.818333"," 0.270708811","1.1263053","0.36535671"," 7"," 1","6.532778"," 0.27083534","1.4354410","0.46236415","14","0.15973432","alive","21","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","5","3","k-m-_m37_5.3"," 1","7.762778"," 0.116936266","0.9023085","0.02188517"," 7"," 1","7.136111"," 0.60366621","1.2761085","0.01636370","14","0.08154673","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","1","2","k-m+_w2_1.2"," 1","9.406389"," 0.054182794","1.0670624","0.39686992"," 8"," 2","7.542778"," 0.38366892","1.2944968","0.34756291","14","0.08150958","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","2","6","k-m+_c1_2.6"," 1","8.328611"," 0.175410542","1.0011474","0.37236100"," 7",NA,NA,NA,NA,NA,NA,"0.10058987","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","4","5","k-m+_c1_4.5"," 1","7.794444","-0.022410440","0.9314573","0.40326937"," 7"," 1","6.814444","-0.11746036","1.2326844","0.43758322","14","0.07590206","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","5","1","k+m-_c1_5.1"," 1","7.698333"," 0.011972273","0.8907098","0.26283011"," 7"," 1","7.240000","-0.12758746","1.1245373","0.33569176","14","0.00000000","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","6","2","k+m+_c1_6.2"," 1","7.419722","-0.089612170","1.1452899","0.40912105"," 7"," 1","6.711944"," 0.23930948","1.4207670","0.42449744","14","0.11235901","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","1","1","k+m+_m37_1.1"," 1","9.384167"," 0.069774900","1.1797456","0.40584440"," 8"," 1","7.546667"," 0.40551839","1.4195858","0.41293816","14","0.14391527","alive","21","TRUE","21"
"k+m-","m37","TRUE","FALSE","2","8","k+m-_m37_2.8"," 1","8.298611"," 0.147274804","1.1632599","0.31956860"," 7",NA,NA,NA,NA,NA,NA,"0.14556294","alive","21","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","5","4","k-m+_m37_5.4"," 1","7.605000","-0.031534470","1.1908413","0.41534077"," 7"," 1","7.013333","-0.09095495","1.4409649","0.33899478","14","0.12888175","alive","21","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","6","3","k-m-_c1_6.3"," 1","7.381944"," 0.101329959","0.9119773","0.25297641"," 7"," 1","6.474722"," 0.13676787","1.2345089","0.35405837","14","0.08589701","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","1","4","k+m+_c1_1.4"," 1",NA,NA,NA,NA," 8"," 2","7.154722"," 0.51561403",NA,NA,"14","0.03300701","alive","21","TRUE","21"
"k-m-","m37","FALSE","FALSE","2","1","k-m-_m37_2.1"," 1","8.276667"," 0.153514553","0.8682280","0.05869107"," 7",NA,NA,NA,NA,NA,NA,"0.03300701","alive","21","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","4","1","k-m-_w2_4.1"," 1","7.764167","-0.113104483","0.9098016","0.35754711"," 7"," 1","6.651667"," 0.46133270","0.9815738","0.19200917","14","0.00000000","alive","21","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","5","2","k+m-_m37_5.2"," 1","7.566667"," 0.368127210","0.9222261","0.18967130"," 7"," 1","7.036389"," 0.04660036","1.1740252","0.28633214","14","0.09847316","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","6","2","k-m+_c1_6.2"," 1","7.358889"," 0.172242994","1.0186275","0.31058985"," 7"," 1","6.751389"," 0.25220473","1.4125183","0.31426358","14","0.07663990","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","1","2","k+m+_c1_1.2"," 1","9.312500"," 0.119881848","0.9742732","0.36050543"," 8"," 2",NA,NA,NA,NA,"14","0.08664340","dead","17","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","2","3","k+m-_w2_2.3"," 1","7.501111"," 0.266866030","1.3270586","0.40430529"," 7",NA,NA,NA,NA,NA,NA,"0.13218080","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","4","5","k+m-_c1_4.5"," 1","7.740833"," 0.027902825","0.8519766","0.31714791"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead","12","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","5","4","k+m+_m37_5.4"," 1","7.441944"," 0.219149976","0.9303783","0.31145444"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","missing"," 7","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","6","3","k+m-_c1_6.3"," 1","7.329167"," 0.057156487","0.9690914","0.06113493"," 7"," 1","6.621389"," 0.39704969","1.3777223","0.09975052","14","0.11849610","alive","21","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","1","6","k-m-_c1_1.6"," 1","9.285000"," 0.433812471","1.3617294",NA," 8"," 2","7.255556"," 0.66048738","1.5629894","0.36021427","14","0.19924534","dead","16","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","2","5","k-m+_c1_2.5"," 1","8.225556"," 0.233513385","1.1479541","0.41785751"," 7",NA,NA,NA,NA,NA,NA,"0.15462199","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","5","1","k+m+_m37_5.1"," 1","7.422222"," 0.159507507","1.1480355","0.42586585"," 7"," 1","7.071944"," 0.43656378","1.3985474","0.39346430","14","0.11657875","alive","21","TRUE","21"
"k+m-","c1","TRUE","FALSE","6","1","k+m-_c1_6.1"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","1","4","k+m-_w2_1.4"," 1","9.264722"," 0.289100659","1.1092407","0.37910897"," 8"," 1","7.669722"," 0.31561972","1.4571520","0.35388179","14","0.12493857","alive","21","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","2","8","k-m+_m37_2.8"," 1","8.201111"," 0.362680426","1.0718886","0.31631735"," 7",NA,NA,NA,NA,NA,NA,"0.11849610","alive","21","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","5","2","k-m-_c1_5.2"," 1","7.386944"," 0.231242747","0.7691335","0.03233628"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 7","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","6","5","k+m-_c1_6.5"," 1","7.286944"," 0.125177307","0.8984159","0.32464771"," 7"," 1","6.651389"," 0.15302472","1.2453642","0.38578472","14","0.10919221","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","6","k-m+_c1_1.6"," 1","9.351944"," 0.149446934","1.0541049","0.40652774"," 8"," 2",NA,NA,NA,NA,"14","0.14834085","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","2","10","k+m+_c1_2.10"," 1","8.143611"," 0.646458843",NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.13339793","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","4","2","k-m+_w2_4.2"," 1","7.711944"," 0.344782979","1.1463749","0.37529110"," 7"," 1","6.784444"," 0.19681994","1.3668070","0.43858185","14","0.13670492","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","5","2","k+m+_m37_5.2"," 1","7.273611"," 0.185491520","1.1449043","0.44256957"," 7"," 1","7.103611"," 0.41479008","1.3829054","0.39286480","14","0.06462425","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","6","1","k+m-_w2_6.1"," 1","7.248611"," 0.057791680","0.9614420","0.10548130"," 7"," 1","6.519167"," 0.26000389","1.2973583","0.16233145","14","0.12669468","alive","21","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","1","4","k-m-_c1_1.4"," 1","9.149722"," 0.531356556","1.0870868","0.37574111"," 8"," 1","7.799167"," 0.34204189","1.4205666","0.51238150","14","0.14346062","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","2","3","k+m+_m37_2.3"," 1","8.118611"," 0.379428194","1.0713177","0.34498097"," 7",NA,NA,NA,NA,NA,NA,"0.13218080","lost","17","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","4","2","k+m+_w2_4.2"," 1","7.683889"," 0.332451182","1.0839517","0.39510250"," 7"," 1","7.060556"," 0.11976025","1.3421754","0.02044098","14","0.11657875","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","5","1","k+m+_c1_5.1"," 1","7.248889"," 0.133492944","0.8577938","0.38674854"," 7"," 1","7.306944"," 0.20740530","1.1530090","0.42793100","14","0.00000000","dead","16","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","2","k+m-_c1_1.2"," 1","9.121111"," 0.309427727","0.9579629","0.36886413"," 8",NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 8","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","4","6","k+m-_c1_4.6"," 1","7.655556"," 0.051231701","0.6095487","0.07636637"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 9","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","1","3","k+m-_m37_1.3"," 1","9.095556"," 0.134010305","0.9307188","0.30715074"," 8"," 2","6.631389"," 0.45074892","1.2635172","0.37771982","14","0.09847316","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","2","5","k+m-_c1_2.5"," 1","8.091111"," 0.016515937","0.8031534","0.20372763"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","alive","21","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","4","3","k-m-_c1_4.3"," 1","7.630278"," 0.071562446","0.8896049","0.28140459"," 7"," 1","7.108889"," 0.23764612","1.2156097","0.34918457","14","0.03770723","alive","21","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","6","1","k+m+_w2_6.1"," 1","7.207500","-0.042693942","0.7751571","0.35897022"," 7"," 1","7.012778"," 0.12491207","1.1003654","0.31124248","14","0.10919221","alive","21","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","1","2","k-m-_w2_1.2"," 1","9.073056"," 0.178775952","0.9698318","0.36354443"," 8"," 1",NA,NA,NA,NA,"14","0.00000000","missing","14","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","2","4","k-m+_m37_2.4"," 1","8.060556"," 0.329110238","0.8554413","0.29817736"," 7",NA,NA,NA,NA,NA,NA,"0.11280737","alive","21","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","5","1","k-m-_w2_5.1"," 1",NA,NA,NA,NA," 7"," 1","6.928333"," 0.22610605","0.9449705","0.02419706","14","0.00000000","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","2","5","k+m+_m37_2.5"," 1","7.883056"," 0.351244293","1.2516950","0.37704166"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","4","6","k+m+_c1_4.6"," 1","7.588056"," 0.214625481","0.7584788","0.27685622"," 7"," 1","6.555556"," 0.31991267","1.2573290","0.36806739","14","0.08664340","alive","21","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","5","1","k+m+_w2_5.1"," 1","7.197778"," 0.187445795","1.1650456","0.40276216"," 7"," 1","7.471944"," 0.34834721","1.5050858","0.39880062","14","0.11235901","alive","21","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","6","1","k-m-_w2_6.1"," 1","7.160278"," 0.181107252","0.8976879","0.11719832"," 7"," 1","6.955833"," 0.14516725","1.2873783","0.21814912","14","0.05231487","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","1","1","k+m-_w2_1.1"," 1","9.043611"," 0.134780030","1.0343399","0.35309609"," 8"," 1","8.212500"," 0.15565707","1.3037182","0.35794820","14","0.13464538","alive","21","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","2","4","k+m-_m37_2.4"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.14273284","alive","21","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","5","3","k+m-_m37_5.3"," 1",NA,NA,NA,NA," 7"," 1","6.980833","-0.08085182","1.4366321","0.39312426","14","0.11355998","alive","21","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","6","2","k-m+_m37_6.2"," 1","7.133333"," 0.185287532","0.9230033","0.32664390"," 7"," 1","6.678333"," 0.49778883","1.3295652","0.35490277","14","0.09400394","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","13","k+m-_c1_1.13"," 1","9.021111"," 0.169868596","1.2212561","0.41486384"," 8"," 1","7.474722"," 0.27367862","1.4252258","0.42021536","14","0.16238515","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","2","1","k+m-_w2_2.1"," 1","7.480556"," 0.445072109","1.2474359","0.41108800"," 7",NA,NA,NA,NA,NA,NA,"0.17750216","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","4","2","k+m-_w2_4.2"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","5","1","k+m-_w2_5.1"," 1","7.150000"," 0.170356467","1.2394868","0.43657477"," 7"," 1","7.344444"," 0.27127720","1.5602100","0.28055880","14","0.14478070","alive","21","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","6","2","k-m-_m37_6.2"," 1","7.106389"," 0.283437525","0.9508739","0.39173285"," 7"," 1","6.933611"," 0.04973768","1.4155580","0.41279874","14","0.08532188","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","2","6","k+m-_c1_2.6"," 1","7.805278"," 0.357285738","1.1487884",NA," 7",NA,NA,NA,NA,NA,NA,"0.13218080","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","4","1","k-m+_w2_4.1"," 1","7.518056"," 0.286595201","1.2182748","0.40443950"," 7"," 1","6.686667"," 0.18955888","1.5033977","0.24836026","14","0.15798098","alive","21","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","6","1","k-m-_m37_6.1"," 1","7.060833"," 0.517962629","1.1415962","0.36178942"," 7"," 1","6.780833"," 0.28395199","1.4604998","0.41170416","14","0.09901781","alive","21","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","1","1","k+m+_w2_1.1"," 1","8.994444"," 0.150699126","1.0810951","0.41399079"," 8"," 1","7.733056"," 0.48667400","1.3729049","0.32889810","14","0.11957374","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","4","3","k-m+_w2_4.3"," 1","7.492778"," 0.136051063","1.1775362","0.42439318"," 7"," 1","7.030833"," 0.01703381","1.3646358","0.26962550","14","0.08167490","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","5","2","k-m+_c1_5.2"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","6","4","k-m-_c1_6.4"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","2","9","k+m-_m37_2.9"," 1","7.782500"," 0.196179685","1.1062386","0.42441835"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","4","6","k-m+_c1_4.6"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","5","2","k-m+_m37_5.2"," 1","7.104722"," 0.041604445","1.1509102","0.42598777"," 7"," 1","7.399722","-0.10130521","1.4550625","0.37846419","14","0.10259474","alive","21","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","6","1","k+m-_m37_6.1"," 1","7.018889"," 0.170551160","0.9147368","0.37085514"," 7"," 1","6.809444"," 0.56033879","1.3295658","0.43990732","14","0.14360274","alive","21","FALSE","NULL"
