"treatment","clone","kairomone","metsch","block","rep","ref","plate_assay1","duration_feeding_assay1","feedingRate_assay1","body_assay1","spine_assay1","day_assay1","plate_assay2","duration_feeding_assay2","feedingRate_assay2","body_assay2","spine_assay2","day_assay2","r1","fate","day_fate","infectionFate","day_infection"
"k+m+","c1","TRUE","TRUE","2","4","k+m+_c1_2.4"," 2","6.467778"," 0.254732365","1.1916772","0.38571970"," 7",NA,NA,NA,NA,NA,NA,"0.16531840","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","2","9","k+m+_m37_2.9"," 2","6.448333","-0.184836160","1.3527569","0.40499551"," 7",NA,NA,NA,NA,NA,NA,"0.13700350","alive","21","TRUE","21"
"k+m-","w2","TRUE","FALSE","2","2","k+m-_w2_2.2"," 2","6.426389"," 0.193551498","1.1168909","0.21750335"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","alive","21","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","2","1","k-m-_w2_2.1"," 2","6.403889"," 0.159480430","1.2720267","0.46227167"," 7",NA,NA,NA,NA,NA,NA,"0.19871953","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","2","3","k+m+_c1_2.3"," 2","6.383611","-0.132995952","1.2899429","0.41080233"," 7",NA,NA,NA,NA,NA,NA,"0.15515251","alive","21","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","1","3","k+m+_w2_1.3"," 3","8.616389"," 0.196623149",NA,"0.53554443"," 8"," 2","6.873333"," 0.53672286","1.4086701","0.34403866","14","0.00000000","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","7","k-m+_c1_1.7"," 3","8.585833","-0.090984505","0.9752779","0.41826665"," 8"," 1","7.422222"," 0.07822967","1.2774044","0.47157937","14","0.14391527","dead","21","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","1","2","k-m-_m37_1.2"," 3","8.557222","-0.044584288","1.2289543","0.45486373"," 8"," 1","7.393056"," 0.29360594","1.3758827","0.38824418","14","0.10058987","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","10","k-m+_c1_1.10"," 3","8.530833"," 0.280033496","0.8423258","0.35147110"," 8"," 2","6.591944"," 0.05545799","1.2684039","0.33830456","14","0.13927392","dead","16","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","1","3","k-m-_m37_1.3"," 3","8.506389"," 0.303869152","1.1505587","0.43293200"," 8"," 2","7.021111"," 0.44055883","1.3562787","0.38912112","14","0.15185491","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","4","k-m+_c1_1.4"," 3","8.398333"," 0.022537817","0.9613770","0.27078424"," 8"," 1","7.643056"," 0.07596936","1.3587163","0.43677063","14","0.15111354","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","5","k-m+_c1_1.5"," 3","8.360833"," 0.159710626","1.1652341","0.10087996"," 8"," 2","7.483889"," 0.39587148","1.4707121","0.15391435","14","0.14054710","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","12","k+m-_c1_1.12"," 3","8.325278","-0.172475830","1.2680977","0.46297733"," 8",NA,NA,NA,NA,NA,NA,"0.17882643","lost","11","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","6","k+m-_c1_1.6"," 3","8.298611","-0.289972268","0.9062107","0.31902905"," 8"," 2","6.807222"," 0.26924191","1.2772453","0.13021043","14","0.11458985","alive","21","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","1","11","k-m-_c1_1.11"," 3",NA,NA,NA,NA," 8",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 8","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","1","7","k+m+_c1_1.7"," 3","8.260556"," 0.332639452","1.1931820","0.43469245"," 8"," 1","7.990556"," 0.23730623",NA,NA,"14","0.13711405","alive","21","TRUE","21"
"k-m-","c1","FALSE","FALSE","1","3","k-m-_c1_1.3"," 3",NA,NA,NA,NA," 8"," 1","8.174167"," 0.25815744","1.6120887","0.54349650","14","0.22021370","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","1","k-m+_c1_1.1"," 3","8.195278","-0.037548036","1.0216034","0.32768324"," 8"," 2","7.457500"," 0.14510705","1.2595566","0.44762900","14","0.11946419","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","1","11","k+m+_c1_1.11"," 3",NA,NA,NA,NA," 8",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 8","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","1","4","k-m+_w2_1.4"," 3","8.156111"," 0.190278047","0.9913704","0.34932348"," 8"," 2","6.715556"," 0.03086287","1.4168337","0.38099573","14","0.10510566","alive","21","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","1","4","k+m+_w2_1.4"," 3",NA,NA,NA,NA," 8"," 2",NA,NA,NA,NA,"14","0.10083856","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","10","k+m-_c1_1.10"," 3","8.091944"," 0.000000000","0.9780648","0.40245373"," 8"," 2","7.407222"," 0.08669862","1.2910268","0.45258827","14","0.15054195","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","1","2","k+m-_w2_1.2"," 3","8.048333","-0.217363574","1.0378297","0.39206490"," 8",NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 8","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","1","1","k-m-_m37_1.1"," 3","8.018611"," 0.093486313","1.2043381","0.43991385"," 8"," 1","7.601667"," 0.17841373","1.3174575","0.36745080","14","0.16525479","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","1","3","k-m+_w2_1.3"," 3","7.997500","-0.140308835","1.0288322","0.28254777"," 8"," 2","6.959167"," 0.24878429","1.2935009","0.37246314","14","0.09863071","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","1","2","k+m+_m37_1.2"," 3","7.966944","-0.055795246","1.2313738","0.42977288"," 8"," 1","8.095833"," 0.28266586","1.4301775","0.39700314","14","0.17232520","alive","21","TRUE","21"
"k-m-","w2","FALSE","FALSE","1","3","k-m-_w2_1.3"," 3","7.943611"," 0.140430447","0.9515517","0.34365184"," 8",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 8","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","2","2","k+m+_c1_2.2",NA,NA,NA,"1.3638962","0.46585292"," 9",NA,NA,NA,NA,NA,NA,"0.00000000","missing"," 4","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","4","4","k+m+_c1_4.4",NA,NA,NA,"0.9936609","0.32688986"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","missing"," 4","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","2","8","k+m-_c1_2.8",NA,NA,NA,"0.9106860","0.32504037"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead","14","FALSE","NULL"
"k+m","m37","TRUE","FALSE","5","3","k+m_m37_5.3",NA,NA,NA,"1.2230485","0.38181450"," 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k--m-","c1","FALSE","FALSE","1","3","k--m-_c1_1.3",NA,NA,NA,"1.3214904","0.48123688"," 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k-m+","c1","FALSE","TRUE","2","3","k-m+_c1_2.3",NA,NA,NA,"0.9268867","0.32280324"," 7",NA,NA,NA,NA,NA,NA,"0.10539762","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","4","4","k-m+_c1_4.4",NA,NA,NA,NA,NA,NA," 1","6.895000"," 0.00865869","1.3169100","0.35575326","14","0.08154673","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","16","k-m+_c1_1.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5205072","0.46113177","14",NA,NA,NA,NA,NA
"k-m+","c1","FALSE","TRUE","1","18","k-m+_c1_1.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.4136676","0.45669502","14",NA,NA,NA,NA,NA
"k-m-","c1","FALSE","FALSE","1","1","k-m-_c1_1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","1","8","k-m-_c1_1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","1","12","k-m-_c1_1.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","1","13","k-m-_c1_1.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","7","k+m-_c1_1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","8","k+m-_c1_1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","missing"," 5","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","11","k+m-_c1_1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","missing"," 5","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","3","k-m+_c1_1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","9","k-m+_c1_1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","11","k-m+_c1_1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","12","k-m+_c1_1.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","1","13","k-m+_c1_1.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","1","1","k-m+_m37_1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","1","3","k+m+_c1_1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","1","6","k+m+_c1_1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","1","8","k+m+_c1_1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","1","13","k+m+_c1_1.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","1","3","k+m+_m37_1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","stuck"," 2","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","2","2","k-m-_c1_2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 3","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","2","3","k-m-_c1_2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","missing"," 4","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","2","4","k-m-_c1_2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","alive"," 4","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","2","6","k-m-_c1_2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","missing"," 4","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","2","9","k-m-_c1_2.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","alive"," 4","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","2","7","k-m-_m37_2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 4","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","2","2","k-m-_w2_2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","2","3","k-m-_w2_2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","stuck"," 3","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","2","1","k+m-_c1_2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","stuck"," 3","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","2","2","k+m-_c1_2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","alive"," 4","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","2","4","k+m-_c1_2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","2","9","k+m-_c1_2.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","alive"," 4","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","2","10","k+m-_c1_2.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","stuck"," 3","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","2","6","k+m-_m37_2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","2","2","k-m+_c1_2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","missing"," 4","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","2","4","k-m+_c1_2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","alive"," 4","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","2","7","k-m+_c1_2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","2","9","k-m+_c1_2.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","2","10","k-m+_c1_2.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 4","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","2","2","k-m+_m37_2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","2","9","k-m+_m37_2.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","2","1","k+m+_c1_2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","2","6","k+m+_c1_2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 3","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","2","7","k+m+_c1_2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 3","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","2","8","k+m+_c1_2.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 3","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","2","4","k+m+_m37_2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","alive"," 4","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","2","8","k+m+_m37_2.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","stuck"," 3","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","2","1","k+m+_w2_2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","stuck"," 3","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","2","3","k+m+_w2_2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","alive"," 4","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","4","1","k-m-_c1_4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","4","2","k-m-_c1_4.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","4","5","k-m-_c1_4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","4","6","k-m-_c1_4.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","4","2","k+m-_c1_4.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","4","3","k+m-_c1_4.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","4","4","k+m-_c1_4.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 4","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","4","2","k-m+_c1_4.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","4","2","k+m+_c1_4.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","4","3","k+m+_c1_4.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","5","3","k-m-_c1_5.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","5","1","k-m-_m37_5.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","missing"," 2","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","5","2","k-m-_m37_5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","5","2","k+m-_c1_5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","5","1","k+m-_m37_5.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","5","4","k+m-_m37_5.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","missing"," 2","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","5","1","k-m+_c1_5.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","5","3","k-m+_c1_5.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","5","2","k+m+_c1_5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 4","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","6","1","k-m-_c1_6.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","6","2","k-m-_c1_6.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","6","5","k-m-_c1_6.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","6","4","k+m-_c1_6.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","6","1","k+m+_c1_6.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","6","3","k+m+_c1_6.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","6","4","k+m+_c1_6.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 5","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","6","5","k+m+_c1_6.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 2","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","6","1","k+m+_m37_6.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 2","FALSE","NULL"
