"ref","treatment","clone","kairomone","metsch","block","rep","fate","day_fate","infectionFate","day_infection","day_clutch1","r1"
"k-m-_c1_1.1","k-m-","c1",FALSE,FALSE,1,1,"dead",5,FALSE,NA,NA,0
"k-m-_c1_1.2","k-m-","c1",FALSE,FALSE,1,2,"alive",21,FALSE,NA,11,0.19512497
"k-m-_c1_1.3","k-m-","c1",FALSE,FALSE,1,3,"alive",21,FALSE,NA,11,0.2202137
"k-m-_c1_1.4","k-m-","c1",FALSE,FALSE,1,4,"alive",21,FALSE,NA,16,0.14346062
"k-m-_c1_1.5","k-m-","c1",FALSE,FALSE,1,5,"alive",21,FALSE,NA,11,0.20412802
"k-m-_c1_1.6","k-m-","c1",FALSE,FALSE,1,6,"dead",16,FALSE,NA,11,0.19924534
"k-m-_c1_1.7","k-m-","c1",FALSE,FALSE,1,7,"dead",16,FALSE,NA,11,0.16889508
"k-m-_c1_1.8","k-m-","c1",FALSE,FALSE,1,8,"dead",5,FALSE,NA,NA,0
"k-m-_c1_1.9","k-m-","c1",FALSE,FALSE,1,9,"alive",21,FALSE,NA,11,0.07786739
"k-m-_c1_1.10","k-m-","c1",FALSE,FALSE,1,10,"missing",16,FALSE,NA,16,0
"k-m-_c1_1.11","k-m-","c1",FALSE,FALSE,1,11,"dead",8,FALSE,NA,NA,0
"k-m-_c1_1.12","k-m-","c1",FALSE,FALSE,1,12,"dead",5,FALSE,NA,NA,0
"k-m-_c1_1.13","k-m-","c1",FALSE,FALSE,1,13,"dead",5,FALSE,NA,NA,0
"k-m-_m37_1.1","k-m-","m37",FALSE,FALSE,1,1,"alive",21,FALSE,NA,11,0.16525479
"k-m-_m37_1.2","k-m-","m37",FALSE,FALSE,1,2,"alive",21,FALSE,NA,16,0.10058987
"k-m-_m37_1.3","k-m-","m37",FALSE,FALSE,1,3,"alive",21,FALSE,NA,14,0.15185491
"k-m-_w2_1.1","k-m-","w2",FALSE,FALSE,1,1,"alive",21,FALSE,NA,14,0.1526734
"k-m-_w2_1.2","k-m-","w2",FALSE,FALSE,1,2,"missing",14,FALSE,NA,NA,0
"k-m-_w2_1.3","k-m-","w2",FALSE,FALSE,1,3,"dead",8,FALSE,NA,NA,0
"k-m-_w2_1.4","k-m-","w2",FALSE,FALSE,1,4,"alive",21,FALSE,NA,14,0.09901798
"k-m-_w2_1.5","k-m-","w2",FALSE,FALSE,1,5,"alive",21,FALSE,NA,16,0.10868092
"k+m-_c1_1.1","k+m-","c1",TRUE,FALSE,1,1,"lost",9,FALSE,NA,NA,0
"k+m-_c1_1.2","k+m-","c1",TRUE,FALSE,1,2,"lost",8,FALSE,NA,NA,0
"k+m-_c1_1.3","k+m-","c1",TRUE,FALSE,1,3,"alive",21,FALSE,NA,11,0.16607831
"k+m-_c1_1.4","k+m-","c1",TRUE,FALSE,1,4,"dead",8,FALSE,NA,NA,0
"k+m-_c1_1.5","k+m-","c1",TRUE,FALSE,1,5,"alive",21,FALSE,NA,11,0.19334319
"k+m-_c1_1.6","k+m-","c1",TRUE,FALSE,1,6,"alive",21,FALSE,NA,16,0.11458985
"k+m-_c1_1.7","k+m-","c1",TRUE,FALSE,1,7,"dead",2,FALSE,NA,NA,0
"k+m-_c1_1.8","k+m-","c1",TRUE,FALSE,1,8,"missing",5,FALSE,NA,NA,0
"k+m-_c1_1.9","k+m-","c1",TRUE,FALSE,1,9,"dead",8,FALSE,NA,NA,0
"k+m-_c1_1.10","k+m-","c1",TRUE,FALSE,1,10,"alive",21,FALSE,NA,14,0.15054195
"k+m-_c1_1.11","k+m-","c1",TRUE,FALSE,1,11,"missing",5,FALSE,NA,NA,0
"k+m-_c1_1.12","k+m-","c1",TRUE,FALSE,1,12,"lost",11,FALSE,NA,9,0.17882643
"k+m-_c1_1.13","k+m-","c1",TRUE,FALSE,1,13,"alive",21,FALSE,NA,11,0.16238515
"k+m-_m37_1.1","k+m-","m37",TRUE,FALSE,1,1,"alive",21,FALSE,NA,16,0.07082134
"k+m-_m37_1.2","k+m-","m37",TRUE,FALSE,1,2,"alive",21,FALSE,NA,14,0.13392349
"k+m-_m37_1.3","k+m-","m37",TRUE,FALSE,1,3,"alive",21,FALSE,NA,16,0.09847316
"k+m-_w2_1.1","k+m-","w2",TRUE,FALSE,1,1,"alive",21,FALSE,NA,16,0.13464538
"k+m-_w2_1.2","k+m-","w2",TRUE,FALSE,1,2,"lost",8,FALSE,NA,NA,0
"k+m-_w2_1.3","k+m-","w2",TRUE,FALSE,1,3,"alive",21,FALSE,NA,14,0.15289053
"k+m-_w2_1.4","k+m-","w2",TRUE,FALSE,1,4,"alive",21,FALSE,NA,14,0.12493857
"k+m-_w2_1.5","k+m-","w2",TRUE,FALSE,1,5,"alive",21,FALSE,NA,16,0.13811512
"k-m+_c1_1.1","k-m+","c1",FALSE,TRUE,1,1,"alive",21,FALSE,NA,16,0.11946419
"k-m+_c1_1.2","k-m+","c1",FALSE,TRUE,1,2,"alive",21,FALSE,NA,16,0
"k-m+_c1_1.3","k-m+","c1",FALSE,TRUE,1,3,"dead",5,FALSE,NA,NA,0
"k-m+_c1_1.4","k-m+","c1",FALSE,TRUE,1,4,"alive",21,FALSE,NA,14,0.15111354
"k-m+_c1_1.5","k-m+","c1",FALSE,TRUE,1,5,"alive",21,FALSE,NA,16,0.1405471
"k-m+_c1_1.6","k-m+","c1",FALSE,TRUE,1,6,"alive",21,FALSE,NA,14,0.14834085
"k-m+_c1_1.7","k-m+","c1",FALSE,TRUE,1,7,"dead",21,FALSE,NA,14,0.14391527
"k-m+_c1_1.8","k-m+","c1",FALSE,TRUE,1,8,"missing",16,FALSE,NA,NA,0
"k-m+_c1_1.9","k-m+","c1",FALSE,TRUE,1,9,"dead",5,FALSE,NA,NA,0
"k-m+_c1_1.10","k-m+","c1",FALSE,TRUE,1,10,"dead",16,FALSE,NA,14,0.13927392
"k-m+_c1_1.11","k-m+","c1",FALSE,TRUE,1,11,"dead",2,FALSE,NA,NA,0
"k-m+_c1_1.12","k-m+","c1",FALSE,TRUE,1,12,"dead",5,FALSE,NA,NA,0
"k-m+_c1_1.13","k-m+","c1",FALSE,TRUE,1,13,"dead",2,FALSE,NA,NA,0
"k-m+_m37_1.1","k-m+","m37",FALSE,TRUE,1,1,"dead",2,FALSE,NA,NA,0
"k-m+_m37_1.2","k-m+","m37",FALSE,TRUE,1,2,"alive",21,FALSE,NA,11,0.18018163
"k-m+_m37_1.3","k-m+","m37",FALSE,TRUE,1,3,"alive",21,TRUE,21,16,0.12710312
"k-m+_w2_1.1","k-m+","w2",FALSE,TRUE,1,1,"alive",21,FALSE,NA,14,0.13441214
"k-m+_w2_1.2","k-m+","w2",FALSE,TRUE,1,2,"alive",21,FALSE,NA,14,0.08150958
"k-m+_w2_1.3","k-m+","w2",FALSE,TRUE,1,3,"alive",21,FALSE,NA,17,0.09863071
"k-m+_w2_1.4","k-m+","w2",FALSE,TRUE,1,4,"alive",21,FALSE,NA,17,0.10510566
"k-m+_w2_1.5","k-m+","w2",FALSE,TRUE,1,5,"alive",21,FALSE,NA,21,0.06601402
"k+m+_c1_1.1","k+m+","c1",TRUE,TRUE,1,1,"dead",16,FALSE,NA,14,0.04951051
"k+m+_c1_1.2","k+m+","c1",TRUE,TRUE,1,2,"dead",17,FALSE,NA,16,0.0866434
"k+m+_c1_1.3","k+m+","c1",TRUE,TRUE,1,3,"dead",5,FALSE,NA,NA,0
"k+m+_c1_1.4","k+m+","c1",TRUE,TRUE,1,4,"alive",21,TRUE,21,21,0.03300701
"k+m+_c1_1.5","k+m+","c1",TRUE,TRUE,1,5,"alive",21,FALSE,NA,21,0.05231487
"k+m+_c1_1.6","k+m+","c1",TRUE,TRUE,1,6,"dead",5,FALSE,NA,NA,0
"k+m+_c1_1.7","k+m+","c1",TRUE,TRUE,1,7,"alive",21,TRUE,21,11,0.13711405
"k+m+_c1_1.8","k+m+","c1",TRUE,TRUE,1,8,"dead",2,FALSE,NA,NA,0
"k+m+_c1_1.9","k+m+","c1",TRUE,TRUE,1,9,"lost",8,FALSE,NA,NA,0
"k+m+_c1_1.10","k+m+","c1",TRUE,TRUE,1,10,"alive",21,FALSE,NA,14,0.1320766
"k+m+_c1_1.11","k+m+","c1",TRUE,TRUE,1,11,"dead",8,FALSE,NA,NA,0
"k+m+_c1_1.12","k+m+","c1",TRUE,TRUE,1,12,"alive",21,FALSE,NA,11,0.18401888
"k+m+_c1_1.13","k+m+","c1",TRUE,TRUE,1,13,"dead",5,FALSE,NA,NA,0
"k+m+_m37_1.1","k+m+","m37",TRUE,TRUE,1,1,"alive",21,TRUE,21,14,0.14391527
"k+m+_m37_1.2","k+m+","m37",TRUE,TRUE,1,2,"alive",21,TRUE,21,11,0.1723252
"k+m+_m37_1.3","k+m+","m37",TRUE,TRUE,1,3,"stuck",2,FALSE,NA,NA,0
"k+m+_w2_1.1","k+m+","w2",TRUE,TRUE,1,1,"alive",21,FALSE,NA,16,0.11957374
"k+m+_w2_1.2","k+m+","w2",TRUE,TRUE,1,2,"dead",8,FALSE,NA,NA,0
"k+m+_w2_1.3","k+m+","w2",TRUE,TRUE,1,3,"alive",21,FALSE,NA,NA,0
"k+m+_w2_1.4","k+m+","w2",TRUE,TRUE,1,4,"alive",21,FALSE,NA,16,0.10083856
"k+m+_w2_1.5","k+m+","w2",TRUE,TRUE,1,5,"alive",21,FALSE,NA,14,0.10624497
"k-m-_c1_2.1","k-m-","c1",FALSE,FALSE,2,1,"missing",21,FALSE,NA,14,0.16414525
"k-m-_c1_2.2","k-m-","c1",FALSE,FALSE,2,2,"lost",3,FALSE,NA,NA,0
"k-m-_c1_2.3","k-m-","c1",FALSE,FALSE,2,3,"missing",4,FALSE,NA,NA,0
"k-m-_c1_2.4","k-m-","c1",FALSE,FALSE,2,4,"alive",4,FALSE,NA,NA,0
"k-m-_c1_2.5","k-m-","c1",FALSE,FALSE,2,5,"alive",21,FALSE,NA,11,0.15913496
"k-m-_c1_2.6","k-m-","c1",FALSE,FALSE,2,6,"missing",4,FALSE,NA,NA,0
"k-m-_c1_2.7","k-m-","c1",FALSE,FALSE,2,7,"alive",21,FALSE,NA,10,0.17491023
"k-m-_c1_2.8","k-m-","c1",FALSE,FALSE,2,8,"alive",21,FALSE,NA,10,0.19330144
"k-m-_c1_2.9","k-m-","c1",FALSE,FALSE,2,9,"alive",4,FALSE,NA,NA,0
"k-m-_c1_2.10","k-m-","c1",FALSE,FALSE,2,10,"alive",21,FALSE,NA,10,0.17228353
"k-m-_m37_2.1","k-m-","m37",FALSE,FALSE,2,1,"alive",21,FALSE,NA,21,0.03300701
"k-m-_m37_2.2","k-m-","m37",FALSE,FALSE,2,2,"dead",21,FALSE,NA,21,0
"k-m-_m37_2.3","k-m-","m37",FALSE,FALSE,2,3,"alive",21,FALSE,NA,10,0
"k-m-_m37_2.4","k-m-","m37",FALSE,FALSE,2,4,"alive",21,FALSE,NA,10,0.18139616
"k-m-_m37_2.5","k-m-","m37",FALSE,FALSE,2,5,"alive",21,FALSE,NA,16,0.09400394
"k-m-_m37_2.6","k-m-","m37",FALSE,FALSE,2,6,"alive",21,FALSE,NA,10,0.13470189
"k-m-_m37_2.7","k-m-","m37",FALSE,FALSE,2,7,"lost",4,FALSE,NA,NA,0
"k-m-_m37_2.8","k-m-","m37",FALSE,FALSE,2,8,"alive",21,FALSE,NA,10,0.17491023
"k-m-_m37_2.9","k-m-","m37",FALSE,FALSE,2,9,"alive",21,FALSE,NA,14,0.14830291
"k-m-_w2_2.1","k-m-","w2",FALSE,FALSE,2,1,"alive",21,FALSE,NA,10,0.19871953
"k-m-_w2_2.2","k-m-","w2",FALSE,FALSE,2,2,"dead",4,FALSE,NA,NA,0
"k-m-_w2_2.3","k-m-","w2",FALSE,FALSE,2,3,"stuck",3,FALSE,NA,NA,0
"k+m-_c1_2.1","k+m-","c1",TRUE,FALSE,2,1,"stuck",3,FALSE,NA,NA,0
"k+m-_c1_2.2","k+m-","c1",TRUE,FALSE,2,2,"alive",4,FALSE,NA,NA,0
"k+m-_c1_2.3","k+m-","c1",TRUE,FALSE,2,3,"alive",21,FALSE,NA,10,0.19339577
"k+m-_c1_2.4","k+m-","c1",TRUE,FALSE,2,4,"dead",4,FALSE,NA,NA,0
"k+m-_c1_2.5","k+m-","c1",TRUE,FALSE,2,5,"alive",21,FALSE,NA,NA,0
"k+m-_c1_2.6","k+m-","c1",TRUE,FALSE,2,6,"alive",21,FALSE,NA,14,0.1321808
"k+m-_c1_2.7","k+m-","c1",TRUE,FALSE,2,7,"alive",21,FALSE,NA,14,0.15054195
"k+m-_c1_2.8","k+m-","c1",TRUE,FALSE,2,8,"dead",14,FALSE,NA,NA,0
"k+m-_c1_2.9","k+m-","c1",TRUE,FALSE,2,9,"alive",4,FALSE,NA,NA,0
"k+m-_c1_2.10","k+m-","c1",TRUE,FALSE,2,10,"stuck",3,FALSE,NA,NA,0
"k+m-_m37_2.1","k+m-","m37",TRUE,FALSE,2,1,"alive",21,FALSE,NA,16,0.13195119
"k+m-_m37_2.2","k+m-","m37",TRUE,FALSE,2,2,"lost",17,FALSE,NA,NA,0
"k+m-_m37_2.3","k+m-","m37",TRUE,FALSE,2,3,"alive",21,FALSE,NA,17,0.10510566
"k+m-_m37_2.4","k+m-","m37",TRUE,FALSE,2,4,"alive",21,FALSE,NA,10,0.14273284
"k+m-_m37_2.5","k+m-","m37",TRUE,FALSE,2,5,"alive",21,FALSE,NA,17,0.08154673
"k+m-_m37_2.6","k+m-","m37",TRUE,FALSE,2,6,"dead",4,FALSE,NA,NA,0
"k+m-_m37_2.7","k+m-","m37",TRUE,FALSE,2,7,"alive",21,FALSE,NA,10,0.18741845
"k+m-_m37_2.8","k+m-","m37",TRUE,FALSE,2,8,"alive",21,FALSE,NA,14,0.14556294
"k+m-_m37_2.9","k+m-","m37",TRUE,FALSE,2,9,"dead",7,FALSE,NA,NA,0
"k+m-_w2_2.1","k+m-","w2",TRUE,FALSE,2,1,"alive",21,FALSE,NA,10,0.17750216
"k+m-_w2_2.2","k+m-","w2",TRUE,FALSE,2,2,"alive",21,FALSE,NA,NA,0
"k+m-_w2_2.3","k+m-","w2",TRUE,FALSE,2,3,"alive",21,FALSE,NA,14,0.1321808
"k-m+_c1_2.1","k-m+","c1",FALSE,TRUE,2,1,"alive",21,FALSE,NA,10,0.19037863
"k-m+_c1_2.2","k-m+","c1",FALSE,TRUE,2,2,"missing",4,FALSE,NA,NA,0
"k-m+_c1_2.3","k-m+","c1",FALSE,TRUE,2,3,"alive",21,FALSE,NA,17,0.10539762
"k-m+_c1_2.4","k-m+","c1",FALSE,TRUE,2,4,"alive",4,FALSE,NA,NA,0
"k-m+_c1_2.5","k-m+","c1",FALSE,TRUE,2,5,"alive",21,FALSE,NA,10,0.15462199
